"Id","ProcessName","Path","StartTime","WorkingSetMB","PrivateMemoryMB","VirtualMemoryMB","PagedMemoryMB","CpuSeconds","Responding"
"1928","svchost",,,"11.41","5.97","2101328.41","5.97",,"True"
"1972","svchost",,,"11.39","2.54","2101336.93","2.54",,"True"
"9068","svchost","C:\WINDOWS\system32\svchost.exe","01-06-2026 10:48:51","11.38","1.95","2101369.32","1.95","0.03","True"
"6344","LMS",,,"11.37","2.8","78.73","2.8",,"True"
"19824","OpenConsole","c:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\8761a5560c\resources\app\node_modules\node-pty\build\Release\conpty\OpenConsole.exe","01-06-2026 11:02:02","11.31","2.3","2101397.02","2.3","0.05","True"
"3476","dasHost",,,"11.17","1.84","2101325.43","1.84",,"True"
"6456","svchost",,,"11.15","2.04","2101343.99","2.04",,"True"
"9052","svchost","C:\WINDOWS\system32\svchost.exe","01-06-2026 10:48:51","11.12","2.27","2101352.18","2.27","0.25","True"
"2772","svchost",,,"11.04","2.18","2101342.5","2.18",,"True"
"4916","dllhost","C:\WINDOWS\system32\DllHost.exe","01-06-2026 11:01:44","11.04","2.44","2101340.68","2.44","0.03","True"
"2820","svchost",,,"10.95","2.09","2101338.99","2.09",,"True"
"1956","svchost",,,"10.88","2.1","2101335.27","2.1",,"True"
"3760","svchost",,,"10.73","2.64","2101351.2","2.64",,"True"
"6204","svchost",,,"10.61","1.88","2101334.27","1.88",,"True"
"2720","svchost",,,"10.43","2.44","2101340.79","2.44",,"True"
"6328","mysqld",,,"10.34","32.7","4261.9","32.7",,"True"
"2324","svchost",,,"10.29","2.58","2101340.73","2.58",,"True"
"1888","svchost",,,"10.14","2.39","2101345.84","2.39",,"True"
"3716","svchost",,,"10.13","2.03","2101338.82","2.03",,"True"
"10372","svchost",,,"10.06","1.76","2101336.18","1.76",,"True"
"5224","svchost",,,"10.02","2.48","2101343.49","2.48",,"True"
"11736","svchost",,,"9.96","1.77","2101336.73","1.77",,"True"
"17024","svchost",,,"9.95","1.77","2101334.85","1.77",,"True"
"7836","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:46","9.94","1.7","2101372","1.7","0.02","True"
"8028","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:46","9.94","1.7","2101372","1.7","0.02","True"
"5348","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:46","9.93","1.7","2101372","1.7","0.03","True"
